"data_sprawdzenia","nazwa kanalu","url kanalu","liczba subskrybentow","suma wyswietlen filmow, które ukazaly się na kanale w osatnim tygodniu","suma wyswietlen filmow, które ukazaly się na kanale w osatnim miesiacu"
"2022-01-20","CantaJuegoVEVO","https://www.youtube.com/channel/UCP6YCSvxq2HEX33Sd-iC4zw","8714873","160619","761523"
"2022-01-20","Life with Brothers","https://www.youtube.com/channel/UC66qTRH20AvahadBgw5YYyQ","5791574","73148","450086"
"2022-01-20","Bazylland - Tractors & Excavators","https://www.youtube.com/channel/UCfI1cD9PdHiz1gIwRkFVcrA","5714175","0","0"
"2022-01-20","Blowek","https://www.youtube.com/channel/UC-BRUJOtblqGrftY6oRcOZw","4795750","63213","222472"
"2022-01-20","Karol Friz Wiśniewski","https://www.youtube.com/channel/UCwBtP6NDQtsP5YBa4vuZqHA","4514195","0","12317638"
"2022-01-20","reZigiusz","https://www.youtube.com/channel/UCLLNPuvRGKxSczJcxlOiMXg","4305835","0","333698"
"2022-01-20","Step Records","https://www.youtube.com/channel/UC0kLTLosqh6GH6L19I-3EgA","3624484","0","1769854"
"2022-01-20","Alvaro Soler","https://www.youtube.com/channel/UCe24PRI-Jy5sOz0nmYXQMSA","3415298","1675","1675"
"2022-01-20","AbstrachujeTV","https://www.youtube.com/channel/UCTISYi9ABujrrI1Slg3ZDBA","3364472","173053","2057155"
"2022-01-20","Naruciak","https://www.youtube.com/channel/UCS4c5bpra5blCUsHKPFSkig","3254668","700127","3134021"
"2022-01-20","SBM Label","https://www.youtube.com/channel/UCTIyVgnTO9gGZBFq6GRJvUQ","2894185","19101096","31769248"
"2022-01-20","Planeta Faktów","https://www.youtube.com/channel/UCAE3hyVGBraXyYZYSOS-GeQ","2714491","648015","2823045"
"2022-01-20","Tolly Art","https://www.youtube.com/channel/UClx9e9xZ2aUJ4A5CIWBs2oQ","2645257","0","0"
"2022-01-20","IsAmU","https://www.youtube.com/channel/UCGPKmSKumoR3TbMIHwsh5qQ","2575364","117485","1370075"
"2022-01-20","Vito Minecraft","https://www.youtube.com/channel/UCh_9hI5fOpxYR40zr8AzuCQ","2415435","675104","4601701"
"2022-01-20","SPInkafilmstudio","https://www.youtube.com/channel/UCxJDH_2HXzwUtT62HgWJqCg","2270178","0","4435520"
